epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/recall50(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,best_epoch,lr/pg0,lr/pg1,lr/pg2
53,424.916,0.96352,0.80964,0.82205,0.72149,0.7443,0.84767,0.77472,0.61521,0.84437,0.79776,0.81705,53,0.0008284,0.0008284,0.0008284
54,433.943,0.90431,0.78929,0.81598,0.71476,0.72876,0.83006,0.757,0.56495,0.96117,0.84154,0.82434,53,0.0008251,0.0008251,0.0008251
55,442.035,0.93871,0.83245,0.81644,0.70071,0.71218,0.81028,0.72278,0.56747,0.88328,0.85967,0.81677,53,0.0008218,0.0008218,0.0008218
56,449.732,0.92798,0.84496,0.81472,0.71352,0.72003,0.79699,0.7399,0.58253,0.85867,0.83317,0.81922,53,0.0008185,0.0008185,0.0008185
57,457.584,0.92463,0.8341,0.81195,0.74906,0.73403,0.83796,0.7751,0.62188,0.81876,0.80237,0.81286,57,0.0008152,0.0008152,0.0008152
58,465.577,0.94391,0.80522,0.81716,0.69444,0.71627,0.80771,0.72244,0.56213,0.8259,0.82178,0.81521,57,0.0008119,0.0008119,0.0008119
59,473.181,0.96401,0.83928,0.81976,0.71597,0.68367,0.78869,0.72445,0.57222,0.83137,0.85065,0.81496,57,0.0008086,0.0008086,0.0008086
60,481.064,0.95344,0.81788,0.8189,0.69804,0.73798,0.85197,0.76914,0.58603,0.90173,0.83626,0.82369,57,0.0008053,0.0008053,0.0008053
61,488.608,0.9133,0.82711,0.82094,0.6989,0.73474,0.80668,0.7445,0.58875,0.84142,0.8,0.81616,57,0.000802,0.000802,0.000802
62,496.216,0.94599,0.84459,0.82341,0.67455,0.70429,0.81869,0.72634,0.53673,0.96708,0.90068,0.83021,57,0.0007987,0.0007987,0.0007987
63,503.98,0.98332,0.83773,0.814,0.72557,0.7016,0.8028,0.73837,0.58495,0.83465,0.85987,0.81904,57,0.0007954,0.0007954,0.0007954
64,511.598,0.9147,0.82007,0.81884,0.72774,0.71982,0.84124,0.76971,0.59112,0.88267,0.86707,0.81934,57,0.0007921,0.0007921,0.0007921
65,519.204,0.9642,0.83017,0.81959,0.73555,0.72199,0.83136,0.77159,0.60639,0.84378,0.84309,0.81726,57,0.0007888,0.0007888,0.0007888
66,526.779,0.9326,0.81836,0.81452,0.69368,0.72438,0.80562,0.7404,0.58367,0.8318,0.86694,0.81594,57,0.0007855,0.0007855,0.0007855
67,534.412,0.94765,0.85182,0.82036,0.71786,0.71862,0.791,0.73196,0.5791,0.86019,0.85962,0.81737,57,0.0007822,0.0007822,0.0007822
68,542.038,0.96785,0.82839,0.81965,0.64972,0.67868,0.74876,0.66064,0.51084,0.89965,0.94275,0.82174,57,0.0007789,0.0007789,0.0007789
69,549.663,0.9853,0.85373,0.81458,0.70694,0.75499,0.84973,0.77172,0.59931,0.91181,0.81331,0.82145,57,0.0007756,0.0007756,0.0007756
70,557.202,0.92945,0.802,0.81655,0.69231,0.72744,0.80625,0.73142,0.5776,0.8324,0.85346,0.81511,57,0.0007723,0.0007723,0.0007723
71,564.912,0.929,0.83231,0.82277,0.75256,0.71756,0.83776,0.77038,0.61012,0.81407,0.77807,0.81602,57,0.000769,0.000769,0.000769
72,572.529,0.86519,0.78043,0.80698,0.74616,0.72968,0.8197,0.76554,0.61194,0.80422,0.76542,0.81172,57,0.0007657,0.0007657,0.0007657
73,580.06,0.86349,0.76919,0.80986,0.73597,0.74197,0.83907,0.78194,0.62215,0.83306,0.80548,0.81708,73,0.0007624,0.0007624,0.0007624
74,588.107,0.8914,0.77901,0.81074,0.72894,0.74226,0.83566,0.77799,0.62006,0.81621,0.77951,0.81274,73,0.0007591,0.0007591,0.0007591
75,595.701,0.93068,0.79892,0.81732,0.69757,0.7136,0.78859,0.72756,0.57566,0.80321,0.81532,0.8149,73,0.0007558,0.0007558,0.0007558
76,603.423,0.9319,0.80578,0.81541,0.73133,0.7581,0.85677,0.78469,0.62328,0.81867,0.76671,0.81455,76,0.0007525,0.0007525,0.0007525
77,612.275,0.9281,0.83329,0.81638,0.61097,0.72825,0.82649,0.66325,0.52014,0.85265,0.93049,0.81664,76,0.0007492,0.0007492,0.0007492
78,619.96,0.94197,0.79513,0.81196,0.69906,0.70018,0.78272,0.72535,0.56957,0.8374,0.83491,0.81574,76,0.0007459,0.0007459,0.0007459
79,627.517,0.94315,0.79244,0.81858,0.72077,0.7369,0.83082,0.7615,0.60025,0.84443,0.77326,0.81795,76,0.0007426,0.0007426,0.0007426
80,635.468,0.92984,0.77432,0.81301,0.70323,0.68675,0.77311,0.7093,0.55766,0.82797,0.83027,0.81598,76,0.0007393,0.0007393,0.0007393
81,643.396,0.93242,0.78815,0.81761,0.74098,0.69291,0.80613,0.75039,0.56453,0.92796,0.81381,0.82531,76,0.000736,0.000736,0.000736
82,651.262,0.90885,0.76744,0.81029,0.72713,0.71387,0.80202,0.74419,0.594,0.78673,0.78362,0.81084,76,0.0007327,0.0007327,0.0007327
83,659.077,0.9508,0.77022,0.81606,0.7061,0.697,0.79322,0.71759,0.55558,0.88174,0.84961,0.81997,76,0.0007294,0.0007294,0.0007294
84,667.08,0.93266,0.77248,0.81596,0.71365,0.70495,0.80095,0.73082,0.54559,0.94656,0.79011,0.82258,76,0.0007261,0.0007261,0.0007261
85,674.712,0.89357,0.74857,0.81044,0.77001,0.74252,0.85516,0.8,0.64754,0.77888,0.75573,0.81115,85,0.0007228,0.0007228,0.0007228
86,682.739,0.84881,0.76087,0.8117,0.71903,0.74092,0.81307,0.7473,0.60079,0.80254,0.83054,0.81183,85,0.0007195,0.0007195,0.0007195
87,690.297,0.91372,0.77709,0.81387,0.72981,0.74961,0.82999,0.76699,0.61992,0.77578,0.80307,0.81105,85,0.0007162,0.0007162,0.0007162
88,697.872,0.8464,0.76585,0.81,0.72231,0.73411,0.84431,0.77483,0.62736,0.77025,0.79294,0.81145,85,0.0007129,0.0007129,0.0007129
89,705.82,0.85753,0.75603,0.80979,0.72397,0.74419,0.81432,0.77934,0.62828,0.77796,0.77903,0.81252,85,0.0007096,0.0007096,0.0007096
90,713.422,0.83996,0.75873,0.8093,0.73443,0.70385,0.80381,0.74342,0.59109,0.78058,0.77468,0.81209,85,0.0007063,0.0007063,0.0007063
91,721.085,0.83506,0.73904,0.80653,0.7102,0.71291,0.80084,0.72916,0.57395,0.83477,0.83739,0.81433,85,0.000703,0.000703,0.000703
92,728.641,0.86738,0.77767,0.81224,0.75012,0.74743,0.86354,0.79896,0.63092,0.82122,0.77399,0.81389,85,0.0006997,0.0006997,0.0006997
93,736.616,0.86694,0.81826,0.81107,0.74053,0.72996,0.85376,0.77956,0.5844,0.93737,0.8095,0.82355,85,0.0006964,0.0006964,0.0006964
94,744.175,0.8691,0.76651,0.81555,0.71759,0.71543,0.82462,0.74814,0.59325,0.79268,0.83189,0.81346,85,0.0006931,0.0006931,0.0006931
95,752.077,0.85268,0.76923,0.80636,0.75166,0.74273,0.83546,0.78102,0.62444,0.78699,0.74957,0.81242,85,0.0006898,0.0006898,0.0006898
96,759.614,0.86874,0.7411,0.81223,0.73024,0.70781,0.81035,0.74651,0.59563,0.82166,0.80944,0.81113,85,0.0006865,0.0006865,0.0006865
97,767.319,0.88684,0.79129,0.8113,0.71438,0.76199,0.85696,0.78278,0.61344,0.8404,0.79928,0.8174,85,0.0006832,0.0006832,0.0006832
98,774.941,0.86992,0.727,0.8067,0.72324,0.75596,0.83497,0.77599,0.61783,0.82318,0.76255,0.81497,85,0.0006799,0.0006799,0.0006799
99,782.993,0.86108,0.74106,0.80957,0.75443,0.71974,0.8156,0.77072,0.61695,0.77368,0.72894,0.81127,85,0.0006766,0.0006766,0.0006766
100,790.88,0.88332,0.73711,0.81005,0.74434,0.72147,0.84451,0.77978,0.59567,0.88792,0.82024,0.81921,85,0.0006733,0.0006733,0.0006733
101,799.029,0.84715,0.74382,0.81074,0.73113,0.72193,0.83176,0.76605,0.61426,0.80177,0.80558,0.81143,85,0.00067,0.00067,0.00067
102,806.737,0.83584,0.72513,0.80758,0.73261,0.76513,0.86283,0.79636,0.64375,0.77929,0.74929,0.81265,85,0.0006667,0.0006667,0.0006667
103,814.605,0.86789,0.75565,0.80609,0.72466,0.73945,0.82515,0.76188,0.61972,0.77237,0.75976,0.81,85,0.0006634,0.0006634,0.0006634
104,822.307,0.86184,0.74743,0.80871,0.7323,0.71884,0.79947,0.74711,0.59972,0.79669,0.80781,0.812,85,0.0006601,0.0006601,0.0006601
105,829.864,0.87045,0.75411,0.80515,0.73394,0.69717,0.79528,0.73854,0.57874,0.83554,0.79149,0.8167,85,0.0006568,0.0006568,0.0006568
106,837.63,0.82974,0.71413,0.80427,0.75802,0.75092,0.84252,0.79007,0.63848,0.7816,0.74521,0.81089,85,0.0006535,0.0006535,0.0006535
107,845.524,0.8431,0.72229,0.80753,0.6973,0.71475,0.79938,0.73298,0.59332,0.77998,0.78902,0.81007,85,0.0006502,0.0006502,0.0006502
108,853.475,0.80995,0.71305,0.80765,0.75347,0.73973,0.84157,0.78509,0.63249,0.7652,0.74014,0.81219,85,0.0006469,0.0006469,0.0006469
109,861.154,0.84452,0.73395,0.81079,0.75293,0.74432,0.8468,0.78521,0.64159,0.78678,0.7624,0.80986,85,0.0006436,0.0006436,0.0006436
110,869.299,0.84638,0.70913,0.81231,0.71864,0.76197,0.84222,0.78586,0.6251,0.81508,0.74948,0.81358,85,0.0006403,0.0006403,0.0006403
111,877.183,0.87125,0.71649,0.80902,0.70668,0.73646,0.81729,0.7681,0.61273,0.79416,0.78562,0.81195,85,0.000637,0.000637,0.000637
112,884.921,0.86692,0.71812,0.81066,0.72944,0.74728,0.829,0.7718,0.6251,0.78157,0.76334,0.80968,85,0.0006337,0.0006337,0.0006337
113,892.77,0.85068,0.72351,0.80846,0.70631,0.72882,0.81305,0.73014,0.58854,0.81141,0.84128,0.814,85,0.0006304,0.0006304,0.0006304
114,900.37,0.82463,0.67782,0.80724,0.74786,0.78045,0.85886,0.80515,0.65741,0.75531,0.72103,0.8103,114,0.0006271,0.0006271,0.0006271
115,908.521,0.82213,0.67415,0.80788,0.77358,0.73458,0.84025,0.79512,0.63755,0.78452,0.72794,0.81133,114,0.0006238,0.0006238,0.0006238
116,916.354,0.80059,0.66168,0.80745,0.74115,0.75456,0.85022,0.78763,0.63787,0.79919,0.78172,0.81144,114,0.0006205,0.0006205,0.0006205
117,924.376,0.82687,0.69457,0.8035,0.70811,0.70992,0.79763,0.72194,0.58158,0.79036,0.84993,0.81219,114,0.0006172,0.0006172,0.0006172
118,932.268,0.83936,0.72425,0.80592,0.74042,0.75561,0.85668,0.79577,0.6132,0.87232,0.7721,0.81617,114,0.0006139,0.0006139,0.0006139
119,940.096,0.84148,0.70038,0.80881,0.70881,0.74954,0.84604,0.77073,0.57379,0.93582,0.85786,0.82178,114,0.0006106,0.0006106,0.0006106
120,947.929,0.83339,0.68696,0.80645,0.75371,0.75429,0.84701,0.79831,0.64655,0.76203,0.74977,0.81075,114,0.0006073,0.0006073,0.0006073
