epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,454.19,0.88031,0.78644,0.80761,0.7584,0.75048,0.79792,0.65054,0.76778,0.74413,0.81121,0.0004456,0.0004456,0.0004456
58,462.114,0.91063,0.76014,0.81319,0.7242,0.74026,0.76266,0.60665,0.79928,0.77485,0.81394,0.0004357,0.0004357,0.0004357
59,469.842,0.89241,0.7773,0.81578,0.6959,0.7269,0.74596,0.59077,0.79287,0.80717,0.81239,0.0004258,0.0004258,0.0004258
60,477.74,0.91133,0.75314,0.8152,0.70436,0.74394,0.76543,0.60739,0.81265,0.7976,0.81423,0.0004159,0.0004159,0.0004159
61,485.785,0.89082,0.78832,0.81723,0.73846,0.76518,0.79168,0.63964,0.78031,0.74485,0.81037,0.000406,0.000406,0.000406
62,493.528,0.88847,0.78774,0.81776,0.76068,0.72889,0.78902,0.63089,0.80302,0.73713,0.8131,0.0003961,0.0003961,0.0003961
63,501.298,0.92543,0.75719,0.80992,0.73,0.7565,0.78251,0.6306,0.77032,0.75392,0.81095,0.0003862,0.0003862,0.0003862
64,508.843,0.87625,0.75626,0.81542,0.71368,0.75782,0.78075,0.63428,0.7621,0.76125,0.80984,0.0003763,0.0003763,0.0003763
65,516.506,0.92283,0.77677,0.81564,0.7312,0.76764,0.79368,0.6314,0.79412,0.76096,0.81376,0.0003664,0.0003664,0.0003664
66,524.11,0.88308,0.75237,0.81012,0.73104,0.71893,0.762,0.60214,0.80405,0.7616,0.81409,0.0003565,0.0003565,0.0003565
67,531.86,0.88544,0.76501,0.81605,0.73636,0.76098,0.78871,0.64208,0.77146,0.74557,0.81275,0.0003466,0.0003466,0.0003466
68,539.384,0.85281,0.73716,0.81205,0.73724,0.74177,0.77664,0.63486,0.77016,0.73079,0.81246,0.0003367,0.0003367,0.0003367
69,547.066,0.88615,0.75694,0.80763,0.73966,0.75018,0.78642,0.637,0.77123,0.77004,0.81167,0.0003268,0.0003268,0.0003268
70,554.645,0.84162,0.73195,0.81067,0.75397,0.74667,0.7862,0.62979,0.78213,0.73414,0.8121,0.0003169,0.0003169,0.0003169
71,562.415,0.87879,0.79033,0.8192,0.75404,0.76581,0.79937,0.64741,0.77419,0.72395,0.81152,0.000307,0.000307,0.000307
72,569.94,0.82655,0.72249,0.80351,0.75594,0.72161,0.77519,0.62147,0.79007,0.7446,0.80937,0.0002971,0.0002971,0.0002971
73,577.461,0.82742,0.70985,0.80571,0.74752,0.75215,0.78838,0.64338,0.76241,0.7344,0.81009,0.0002872,0.0002872,0.0002872
74,585.134,0.86784,0.73514,0.80885,0.75215,0.72979,0.78443,0.64148,0.75582,0.75222,0.80911,0.0002773,0.0002773,0.0002773
75,592.719,0.90974,0.7372,0.813,0.76799,0.74349,0.79714,0.64046,0.78255,0.707,0.81251,0.0002674,0.0002674,0.0002674
76,600.424,0.88943,0.71089,0.81262,0.76039,0.73842,0.78948,0.62433,0.80737,0.7388,0.81578,0.0002575,0.0002575,0.0002575
77,608.037,0.85207,0.70751,0.80933,0.75676,0.7686,0.80748,0.65378,0.75299,0.68979,0.81015,0.0002476,0.0002476,0.0002476
78,616.042,0.84032,0.70067,0.80561,0.78151,0.72837,0.79954,0.65057,0.74829,0.69829,0.81002,0.0002377,0.0002377,0.0002377
79,623.6,0.79913,0.70573,0.80708,0.73661,0.76993,0.79922,0.65155,0.75541,0.73071,0.80974,0.0002278,0.0002278,0.0002278
80,631.368,0.80081,0.69843,0.80385,0.75917,0.74383,0.79724,0.65327,0.74518,0.70135,0.80887,0.0002179,0.0002179,0.0002179
81,638.9,0.80445,0.70362,0.80852,0.7741,0.71886,0.78394,0.6395,0.74867,0.71877,0.80949,0.000208,0.000208,0.000208
82,646.465,0.80518,0.68733,0.80346,0.76593,0.69981,0.75865,0.61769,0.74327,0.74047,0.80978,0.0001981,0.0001981,0.0001981
83,654.405,0.81614,0.67245,0.80686,0.7587,0.74285,0.7917,0.64446,0.73938,0.71139,0.80899,0.0001882,0.0001882,0.0001882
84,662.106,0.83127,0.68924,0.80923,0.7557,0.74581,0.79457,0.64097,0.75596,0.70135,0.81165,0.0001783,0.0001783,0.0001783
85,669.799,0.82962,0.67778,0.80638,0.73194,0.76347,0.79917,0.64364,0.76824,0.7496,0.81193,0.0001684,0.0001684,0.0001684
